"","mass.norm","Reach","Site","Distance","Bank","Sample","ID.x","Lab","NH4","NO3","Incubation","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4Corrected","NO3Corrected","Dry_Weight","Water_Weight","GW","NH4_Conc","NO3_Conc","ID.y","Replicate","Weight","pctN","d15N","pctC","d13C","C.N","massN","massN2"
"61",137.9564595,"Up","1",10,"Right",19,"Up1 RR 10m","146",0.47,0.19,"I",10.026,51.352,11.286,0.46,0.15,48.2483333333333,8.18233333333333,4.89664724813623,27.0542363269765,8.82203358488364,"U1-RR-10m",1,2.033,2.8593,8.2521,39.6157,-26.0869,11.8814955522749,5.8129569,28.593
"62",41.7087481366667,"Up","1",20,"Left",15,"Up1 RL 20m","162",0.22,0.08,"I",10.627,61.13,26.518,0.21,0.04,58.0263333333333,23.4143333333333,1.47823982460886,4.89724628933716,0.932808817016602,"U1-RL-20m",1,2.022,0.71879,7.0837,12.7301,-25.7681,15.1877447133945,1.45339338,7.1879
"63",99.4410394666667,"Up","1",20,"Right",20,"Up1 RR 20m","165",0.32,0.08,"I",10.326,47.905,13.961,0.31,0.04,44.8013333333333,10.8573333333333,3.12636620410168,12.3878900181244,1.59843742169347,"U1-RR-20m",1,2.09,2.2196,6.1446,37.7236,-25.6968,14.5747768749812,4.638964,22.196
"64",59.1916766333333,"Up","1",3,"Left",12,"Up1 RL 3m","134",0.62,0.15,"I",10.183,46.124,28.926,0.61,0.11,43.0203333333333,25.8223333333333,0.66601262473053,9.98004223790262,1.7996797478185,"U1-RL-3m",1,2.048,1.3759,9.6168,22.7605,-26.283,14.185950089409,2.8178432,13.759
"65",152.271484666667,"Up","1",3,"Right",17,"Up1 RR 3m","128",0.41,0.08,"I",10.194,58.457,15.964,0.4,0.04,55.3533333333333,12.8603333333333,3.30419118218812,16.8891158806675,1.68891158806675,"U1-RR-3m",1,2.019,2.7509,11.5503,35.0811,-26.4074,10.936085554515,5.5540671,27.509
"66",66.0355655666667,"Up","1",6,"Left",13,"Up1 RL 6m","147",0.22,0.16,"I",10.128,51.72,31.03,0.21,0.12,48.6163333333333,27.9263333333333,0.740877785602597,3.60963995829922,2.06265140474241,"U1-RL-6m",1,2.088,1.3583,8.6995,22.2343,-25.8717,14.0375481936583,2.8361304,13.583
"67",150.546335333333,"Up","1",6,"Right",18,"Up1 RR 6m","129",0.55,0.12,"I",10.446,57.032,9.46,0.54,0.08,53.9283333333333,6.35633333333333,7.48418899784991,43.8585301439685,6.49756002132867,"U1-RR-6m",1,2.003,2.7916,6.505,44.4506,-26.7112,13.6548815657672,5.5915748,27.916
"68",100.093381333333,"Up","2",1,"Left",21,"Up2 RL 1m","180",11.1,0.16,"I",10.156,67.973,27.469,11.09,0.12,64.8693333333333,24.3653333333333,1.66236182554449,290.720683785825,3.14576032951298,"U2-RL-1m",1,2.071,1.543,10.6727,24.8878,-26.1815,13.8319713863744,3.195553,15.43
"69",182.5667283,"Up","2",1,"Right",26,"Up2 RR 1m","150",0.56,2.84,"I",10.165,56.248,13.868,0.55,2.8,53.1443333333333,10.7643333333333,3.9370761465333,26.7131518012132,135.994227351631,"U2-RR-1m",1,2.032,3.4353,8.4109,40.9318,-27.0788,10.2178535524832,6.9805296,34.353
"70",37.33917492,"Up","2",10,"Left",24,"Up2 RL 10m ","157",2.42,0.21,"I",10.178,53.313,36.584,2.41,0.17,50.2093333333333,33.4803333333333,0.499666470863492,35.5098859774122,2.50484672869713,"U2-RL-10m",1,2.043,0.74367,7.8141,14.7574,-26.4415,17.0173952751545,1.51931781,7.4367
